id,pred,conf,abstain,source name
544,AGN,0.8142734373596673,False,2CXO J003621.8-430234
545,AGN,0.7468039379471563,False,2CXO J003626.5-430820
546,AGN,0.6904906178295919,False,2CXO J003631.8-332859
548,AGN,0.8533714299234869,False,2CXO J003649.0-431918
549,AGN,0.8338988378808859,False,2CXO J003650.0-432120
550,AGN,0.8312218080090682,False,2CXO J003652.3-333319
557,AGN,0.8312218080090682,False,2CXO J003652.9-333319
561,YSO,0.674559313901622,False,2CXO J003701.9-011911
562,,0.0,True,2CXO J003702.0+182322
563,,0.0,True,2CXO J003702.4-011533
566,,0.0,True,2CXO J003704.1-333344
567,Binaries,0.5222512891558895,False,2CXO J003710.9-503428
569,Binaries,0.5117212357337844,False,2CXO J003712.2-010754
570,AGN,0.7811700617539099,False,2CXO J003712.5-010833
571,AGN,0.7582592945467518,False,2CXO J003717.2-333435
572,AGN,0.7891107418200938,False,2CXO J003717.2-333435
573,AGN,0.7691118401927028,False,2CXO J003717.2-333435
574,,0.0,True,2CXO J003719.4-503653
575,AGN,0.7686674318930278,False,2CXO J003719.5-334951
577,Stars,0.5286774269368648,False,2CXO J003722.2-333351
582,Binaries,0.4792969885246625,False,2CXO J003731.0-504317
590,YSO,0.7144702785965915,False,2CXO J003747.0-334111
605,AGN,0.7444199163014622,False,2CXO J003756.3-504834
606,YSO,0.49091138187457106,False,2CXO J003758.2-335336
607,AGN,0.45186964001636576,False,2CXO J003758.2-335336
609,,0.0,True,2CXO J003802.4-505040
610,AGN,0.798716556773216,False,2CXO J003804.2-335631
611,,0.0,True,2CXO J003807.3-333606
612,AGN,0.5692419812750312,False,2CXO J003813.3-334925
613,,0.0,True,2CXO J003818.8-505719
614,AGN,0.7387634324959763,False,2CXO J003819.6-503947
616,AGN,0.6958103345439639,False,2CXO J003820.8-504106
617,AGN,0.7468039379471563,False,2CXO J003823.6-333622
619,AGN,0.7468039379471563,False,2CXO J003839.5-505507
620,,0.0,True,2CXO J003850.5-505231
621,AGN,0.5752214972329609,False,2CXO J003902.1-504851
622,Binaries,0.5143365430008112,False,2CXO J003902.7+032013
623,YSO,0.5211449945011156,False,2CXO J003902.7+032013
624,,0.0,True,2CXO J003905.1+032944
625,Binaries,0.659989649892869,False,2CXO J003909.7+031749
626,YSO,0.4693800706326597,False,2CXO J003909.7+031749
629,,0.0,True,2CXO J003923.9+032139
635,AGN,0.5670816874738172,False,2CXO J003930.0+031856
636,AGN,0.781938439831242,False,2CXO J003931.7+031848
637,AGN,0.5861752350463194,False,2CXO J003933.6+031828
638,,0.0,True,2CXO J003935.3+031157
645,YSO,0.5695253483448868,False,2CXO J003944.9+033105
646,AGN,0.45186964001636576,False,2CXO J003944.9+033105
651,Stars,0.5047734434276611,False,2CXO J003957.8+032516
652,AGN,0.5632184777725008,False,2CXO J004010.3+032412
654,Binaries,0.47294382855000794,False,2CXO J004019.0+032136
655,Binaries,0.6644186834437203,False,2CXO J004019.0+032136
657,Binaries,0.6095434156181094,False,2CXO J004028.7-731106
658,AGN,0.7473578572520445,False,2CXO J004029.1-443015
663,,0.0,True,2CXO J004059.2+411550
666,Stars,0.47271859633318125,False,2CXO J004120.7+410340
671,Binaries,0.8105449016632754,False,2CXO J004132.5+411749
673,AGN,0.6557214626737636,False,2CXO J004140.8-092234
675,,0.0,True,2CXO J004141.2+410402
676,Binaries,0.5058108446955152,False,2CXO J004141.4+411917
677,Binaries,0.6216802065576698,False,2CXO J004141.9-732617
693,AGN,0.7456226537294435,False,2CXO J004147.9-092044
695,AGN,0.7456226537294435,False,2CXO J004148.4-092012
704,AGN,0.4860495483582803,False,2CXO J004153.0-092042
705,AGN,0.5917264946919387,False,2CXO J004153.5-125453
708,AGN,0.6710828326129122,False,2CXO J004155.8-334618
709,AGN,0.6847526240411591,False,2CXO J004155.8-334618
710,,0.0,True,2CXO J004155.8-334618
717,AGN,0.6612100600990028,False,2CXO J004201.3-125307
718,Binaries,0.5058108446955152,False,2CXO J004203.1+404608
776,AGN,0.6483880775804759,False,2CXO J004210.9-130146
777,AGN,0.7974554877182435,False,2CXO J004211.3+410428
778,AGN,0.5486128905382311,False,2CXO J004211.3+410428
779,,0.0,True,2CXO J004211.3+410428
780,Binaries,0.48756479651472606,False,2CXO J004211.3+410428
781,AGN,0.7234961585233183,False,2CXO J004211.3+410428
782,,0.0,True,2CXO J004211.5-124907
783,,0.0,True,2CXO J004211.5-124907
790,AGN,0.7248308147232211,False,2CXO J004212.6+411244
867,,0.0,True,2CXO J004214.9-334400
868,AGN,0.5861752350463194,False,2CXO J004214.9-334400
882,AGN,0.7944767349061497,False,2CXO J004215.2-091844
883,AGN,0.6005065246746617,False,2CXO J004215.2-091844
891,,0.0,True,2CXO J004215.8+405527
923,AGN,0.843121838402809,False,2CXO J004216.5+405552
924,AGN,0.7651180804868541,False,2CXO J004216.5+405552
925,AGN,0.6487237091782122,False,2CXO J004216.5+405552
926,AGN,0.4618912594695185,False,2CXO J004216.5+405552
927,,0.0,True,2CXO J004216.5+405552
928,,0.0,True,2CXO J004216.5+405552
934,,0.0,True,2CXO J004217.8+405526
1052,Binaries,0.5449947622700516,False,2CXO J004218.7+412927
1056,AGN,0.5721672402893612,False,2CXO J004220.7+411344
1090,AGN,0.7128326036028999,False,2CXO J004221.7+411502
1091,Binaries,0.6667983287792499,False,2CXO J004222.2+405924
1092,,0.0,True,2CXO J004222.2+405924
1093,Binaries,0.7312051842320855,False,2CXO J004222.2+405924
1094,Binaries,0.7909275928532227,False,2CXO J004222.2+405924
1236,YSO,0.5514243083183009,False,2CXO J004226.4-334642
1237,AGN,0.6032165277415265,False,2CXO J004226.4-334642
1238,YSO,0.5134772950225813,False,2CXO J004226.4-334642
1239,Binaries,0.5763959502532969,False,2CXO J004227.3+405527
1318,AGN,0.9463337945971155,False,2CXO J004228.9+410436
1319,YSO,0.47353104788584344,False,2CXO J004228.9+410436
1320,AGN,0.6104725075376239,False,2CXO J004228.9+410436
1321,AGN,0.8140056785130643,False,2CXO J004228.9+410436
1322,AGN,0.9118081628807818,False,2CXO J004228.9+410436
1323,YSO,0.4618325454094035,False,2CXO J004228.9+410436
1324,YSO,0.4618325454094035,False,2CXO J004228.9+410436
1325,,0.0,True,2CXO J004228.9+410436
1326,AGN,0.8082359133798863,False,2CXO J004228.9+410436
1327,AGN,0.8326043236958179,False,2CXO J004228.9+410436
1328,AGN,0.8712871740783106,False,2CXO J004230.9-125524
1329,Binaries,0.5427531089835482,False,2CXO J004230.9-125524
1330,AGN,0.9463337945971155,False,2CXO J004231.1+410435
1331,AGN,0.8326043236958179,False,2CXO J004231.1+410435
1449,Binaries,0.8389651158260499,False,2CXO J004231.8+405708
1450,Binaries,0.7601150266017478,False,2CXO J004231.8+405708
1451,Binaries,0.7805308386944391,False,2CXO J004231.8+405708
1452,Binaries,0.7008381071025361,False,2CXO J004231.8+405708
1543,,0.0,True,2CXO J004232.7+411303
1544,Binaries,0.7805308386944391,False,2CXO J004232.7+411303
1558,Binaries,0.5627400994875512,False,2CXO J004233.2+410329
1559,,0.0,True,2CXO J004233.2+410329
1730,AGN,0.676953174780792,False,2CXO J004239.9+411547
1731,Binaries,0.5683944720335176,False,2CXO J004239.9+411547
1732,AGN,0.8298433134202152,False,2CXO J004239.9+411547
1733,AGN,0.8218339319649651,False,2CXO J004239.9+411547
1734,,0.0,True,2CXO J004239.9+411547
1735,AGN,0.8123605104060009,False,2CXO J004239.9+411547
