source_name,n_detections,n_classified,n_abstained,final_classification,agreement_count,agreement_rate,n_unique_classes,all_classes,avg_confidence_final_class,avg_confidence_all,interestingness_score,bmu_x,bmu_y,edge_bmu,truncated_R
2CXO J212426.9-335628,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,12,27,False,False
2CXO J213508.5-010207,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,35,4,False,False
2CXO J213619.9-543146,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.7018,0.7018,0.0,6,14,False,False
2CXO J214016.2-230820,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.7931,0.7931,0.0,8,18,False,False
2CXO J214402.3+193640,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.7223,0.7223,0.0,14,15,False,False
2CXO J214427.1+193412,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.8154,0.8154,0.0,16,13,False,False
2CXO J215452.5+380114,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,35,9,False,False
2CXO J215504.3+380808,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,22,31,False,False
2CXO J215528.4+374925,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,26,15,False,False
2CXO J215654.9-694733,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.7311,0.7311,0.0,18,10,False,False
2CXO J215709.7-045210,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.6638,0.6638,0.0,13,6,False,False
2CXO J215722.4-694743,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,24,3,False,False
2CXO J220400.3-564726,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,5,0,True,True
2CXO J220439.1-565809,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.6862,0.6862,0.0,10,27,False,False
2CXO J220710.9+101216,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,36,21,False,False
2CXO J220955.7-651946,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.8185,0.8185,0.0,5,8,False,False
2CXO J221450.0+135519,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,33,3,False,False
2CXO J221457.7-353556,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.7932,0.7932,0.0,10,19,False,False
2CXO J221541.6-172457,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.7151,0.7151,0.0,13,3,False,False
2CXO J221641.5-173253,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.7737,0.7737,0.0,6,21,False,False
2CXO J221651.8-172549,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.944,0.944,0.0,20,31,False,False
2CXO J222344.3-020912,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.6934,0.6934,0.0,10,4,False,False
2CXO J222344.9-020638,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,22,31,False,False
2CXO J222403.3-020600,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,10,2,False,False
2CXO J222420.2+653720,2,1,1,Binaries,1,1.0,1,{'Binaries': 1},0.6144,0.6144,0.0,31,18,False,False
2CXO J222536.9+652936,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,34,15,False,False
2CXO J222635.9+653537,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,3,36,False,False
2CXO J222757.1+782544,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,8,0,True,True
2CXO J222940.9-280248,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,21,11,False,False
2CXO J223604.1+341211,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,4,15,False,False
2CXO J223621.7-255743,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.7197,0.7197,0.0,17,17,False,False
2CXO J223653.5-455937,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,11,23,False,False
2CXO J223705.4+342533,2,1,1,Binaries,1,1.0,1,{'Binaries': 1},0.7764,0.7764,0.0,30,6,False,False
2CXO J223758.4-455452,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.5667,0.5667,0.0,25,24,False,False
2CXO J223904.3-053921,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.7133,0.7133,0.0,16,26,False,False
2CXO J223911.2-401400,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.7117,0.7117,0.0,4,7,False,False
2CXO J223912.5-054323,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.7739,0.7739,0.0,8,13,False,False
2CXO J223956.1-400326,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,9,2,False,False
2CXO J224159.1+530357,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,20,14,False,False
2CXO J224228.9+524610,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.7453,0.7453,0.0,22,3,False,False
2CXO J224304.3+530806,2,1,1,Binaries,1,1.0,1,{'Binaries': 1},0.6024,0.6024,0.0,25,20,False,False
2CXO J224917.8-443617,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,0,3,True,True
2CXO J225457.1+623416,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.7229,0.7229,0.0,9,4,False,False
2CXO J225503.0+011135,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.6079,0.6079,0.0,12,24,False,False
2CXO J225706.8+623829,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,28,12,False,False
2CXO J225739.7-411028,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,39,4,True,True
2CXO J230712.0-223628,2,1,1,Binaries,1,1.0,1,{'Binaries': 1},0.5949,0.5949,0.0,39,4,True,True
